start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,PHQ8_Score,participant_ID
0 days,0 days 00:07:23.054965986,33.3236,0.098689556,31.772974,33.227528,35.18781,3.414835,229.5547,326.01047,64.69472,138.81998,0.36050603,0.6716332,0.13122183,0.32234484,0.56474555,0.4335237,4.05328,2.2680907,3.6231127,2.1410892,0.098040044,0.94134444,37.477783,0.30193564,-14.414685,-1.0125033,13.598568,1.3990461,-13.816792,-1.2055638,0.01884238,2.868965,0.82932067,1.0283864,9.211704,0.40783942,1.9880438,5.6143785,18.87855,0.54753906,571.86993,0.32346714,1425.594,0.17257504,-41.80631,-1.8119324,1591.7245,0.14817713,1126.8818,0.47325978,-48.944393,-1.4056892,2517.7852,0.11160895,971.5768,0.5608307,-52.7596,-1.2661433,-13.236189,-0.46362334,22.542608,0.35201508,0.11686641,0.22346592,-0.023783118,-0.55771273,0.11200656,0.8468308,40.559074,0.200992,-15.781942,-0.92382663,13.010839,1.5422564,-15.285408,-1.1027657,-8.758015,17.381699,0.08920254,-0.007187942,0.035840157,3.0178266,1.8914455,0.4217703,0.33916178,0.093656614,0.10303716,-32.059704,0.0,403
0 days,0 days 00:08:00.089841270,23.582512,0.17912145,21.210049,22.694832,25.307175,4.097126,279.58072,519.3564,97.00439,337.91367,0.11199186,0.8746685,0.026752949,0.086374305,0.17971411,0.15296116,1.7697197,1.2166008,1.2878977,1.1586595,0.021870296,1.1633399,32.90333,0.45745626,-6.5788336,-1.6985914,12.908258,1.1699655,-7.337637,-2.007862,0.018809346,2.174016,1.0042084,0.97179914,4.4709616,0.6934742,2.916589,2.1921675,24.386894,0.3790179,468.91925,0.3700659,1279.131,0.18334545,-103.33584,-0.9537817,1432.5768,0.15551473,987.42395,0.2755136,-108.93591,-0.84420943,2442.97,0.109326795,856.12885,0.37340066,-112.40011,-0.78559655,-14.28539,-0.47227046,25.185942,0.33306697,0.090200245,0.23365231,-0.02039386,-0.64333,0.033469006,0.8722133,44.036716,0.19977334,-8.109031,-1.4547973,15.532711,1.1210746,-9.243946,-1.7247425,-7.139936,15.015818,0.07844826,-0.006384565,0.010982454,2.1524458,1.9960747,0.23205021,0.18858269,0.25140128,0.24519002,-44.89458,0.0,404
0 days,0 days 00:05:05.059863946,32.665344,0.15232386,30.960258,32.833683,35.522457,4.5621986,263.30234,351.56442,109.88813,269.8163,0.16617703,0.72555804,0.054948896,0.14096968,0.2661981,0.2112492,2.4576483,1.5374101,2.0321782,1.3857584,0.037226595,1.1053023,38.33296,0.34613925,-11.77035,-1.2648631,9.190988,1.7144114,-9.31737,-1.4415542,0.031145113,2.4235992,0.98795587,1.1344383,8.381557,0.57498574,4.5982475,2.132356,25.317492,0.43467504,599.4515,0.3175985,1407.6836,0.1428449,-66.3221,-1.3315334,1566.4282,0.14356399,1066.8625,0.29900277,-72.88499,-1.1142912,2614.1045,0.10486702,925.8626,0.41108352,-79.44344,-0.969105,-14.00477,-0.5080931,26.374046,0.32654414,0.11934494,0.21747768,-0.018101972,-0.7821196,0.04425211,0.8535867,44.456226,0.18994124,-13.114413,-1.1638787,8.283475,2.0942514,-10.921113,-1.3059962,-8.032972,17.188377,0.084586546,-0.0064852554,0.02122835,2.9571216,2.6618848,0.25014833,0.18659191,0.11126649,0.16333419,-41.246414,2.0,406
0 days,0 days 00:09:38.359637188,22.838692,0.16284128,20.74166,22.114021,24.30538,3.5637207,221.45631,425.6588,88.078896,279.12244,0.22668019,0.86583734,0.06398412,0.16330369,0.3769706,0.31298646,4.565388,2.764957,4.1537924,2.8740373,0.07697116,1.1321753,34.889385,0.3941375,-12.962884,-0.98187196,15.0728,1.2110512,-15.850179,-1.1041032,0.033596355,1.5916748,1.586157,0.776161,1.6723688,2.051871,3.524398,1.6236196,21.317612,0.4293613,481.328,0.40670803,1255.8011,0.18225169,-73.32433,-1.2960393,1460.6229,0.17176268,919.58594,0.34378132,-77.82408,-1.1645628,2516.08,0.10502623,816.39185,0.46097034,-82.533394,-1.0528787,-11.111159,-0.57462496,22.888332,0.35068265,0.095148824,0.26771313,-0.018989006,-0.7828727,0.10380031,0.90261215,41.042538,0.23063096,-15.004551,-0.8514117,16.007694,1.2565452,-20.092709,-0.9024852,-6.586232,15.895572,0.07541536,-0.006342772,0.03250623,3.6357965,1.7331624,0.18845,0.15406975,0.10995,0.10377521,-36.785484,10.0,409
0 days,0 days 00:05:30.720000,25.555725,0.16867605,23.575066,25.128948,28.036606,4.46154,357.43295,430.1634,137.43524,288.38156,0.11478596,0.79030406,0.031775657,0.09777942,0.17677064,0.14499499,1.6308011,1.0888687,1.354988,1.0865638,0.030165622,1.042079,34.896,0.45842254,-2.551123,-4.8499093,6.5041833,2.3278532,-6.772378,-1.8540007,0.030613068,2.2625346,1.2673335,0.82561505,4.4524755,0.88236666,-0.07915877,-93.889854,26.65976,0.34901494,508.894,0.28912604,1365.1141,0.14807846,-100.60538,-0.9512856,1469.7996,0.1645304,1066.448,0.32936236,-107.19135,-0.8258279,2498.77,0.10224924,953.24304,0.47224814,-112.84677,-0.7357589,-16.436218,-0.4275748,28.782314,0.30347988,0.08497561,0.30658782,-0.028272675,-0.52486014,0.042464677,0.76617783,45.84066,0.18803419,0.57300663,21.296524,6.480973,2.6165962,-7.1922665,-1.8142096,-6.79228,15.226042,0.07779947,-0.008983257,0.017246963,2.6154685,2.1399775,0.2287252,0.23790225,0.21802557,0.21107934,-44.024456,12.0,412
0 days,0 days 00:08:38.549886621,30.242395,0.18618135,28.137316,29.81435,33.46492,5.3276043,262.69553,440.48743,95.51044,208.06708,0.14287156,0.7106529,0.04814915,0.12486245,0.22890751,0.18075836,2.1205232,1.1535119,1.7180681,1.1121092,0.03257507,0.8740549,36.100445,0.43622997,-9.303931,-1.4518651,9.592138,1.902196,-9.466806,-1.3427533,0.027365103,2.4598188,0.99251217,1.1152877,6.9763317,0.7082806,2.0775743,3.8361547,24.046347,0.4570174,600.5969,0.31593022,1386.4783,0.18217915,-76.48877,-1.2236588,1599.3308,0.15238225,1008.2666,0.3710456,-81.89867,-1.0574358,2567.303,0.10311826,864.67804,0.44098446,-86.2052,-0.9660298,-13.9377985,-0.5602724,24.579176,0.37286016,0.13165437,0.18466444,-0.024666421,-0.5820089,0.04002324,0.7089854,43.88737,0.2286226,-11.386789,-1.2070473,9.081175,2.2228432,-10.753752,-1.2582707,-8.205704,16.32085,0.10290046,-0.00981189,0.020464858,3.5313902,1.9330769,0.22021,0.17972049,0.12288,0.23424423,-43.249725,10.0,413
0 days,0 days 00:08:43.029841270,34.6254,0.13493438,34.29329,35.555843,36.94672,2.653431,350.38553,428.97678,135.79645,261.95935,0.15050142,0.85616577,0.035816923,0.114219986,0.25168765,0.21587072,3.0092041,1.8850083,2.2165043,1.7144259,0.040552557,1.2305704,34.04537,0.43273124,-7.2193203,-2.0772765,5.815663,2.6567006,-12.59406,-1.0678538,0.028743524,2.317629,1.0937159,1.1139367,9.225659,0.56532156,9.113548,1.2465216,29.631046,0.36463168,679.2379,0.23536249,1344.9941,0.1659142,-91.78576,-1.0101861,1680.2787,0.14541171,946.7364,0.35353717,-94.687675,-0.9022157,2734.8308,0.09123705,771.664,0.4357547,-100.19021,-0.80610365,-17.679497,-0.52215475,29.526295,0.35289812,0.13369557,0.20832507,-0.023937995,-0.5633316,0.055041585,0.9870009,43.15033,0.21054925,-7.057011,-2.324313,5.04481,3.5004494,-16.166817,-0.8842324,-7.046142,15.5300255,0.08951883,-0.00774575,0.020155314,2.9262402,1.9179134,0.23324,0.18851554,0.16193001,0.25273958,-40.39558,16.0,414
0 days,0 days 00:05:51.082176871,31.329096,0.18730639,29.73977,32.037914,34.87412,5.134348,295.55875,413.03897,134.79541,264.6992,0.15852165,0.8258026,0.052277356,0.124916375,0.24450517,0.19222781,3.0288603,2.4649165,2.000617,1.6530851,0.04821832,1.2482442,36.258488,0.37967488,-7.4119587,-1.9424554,12.027181,1.408103,-7.6431117,-1.6627939,0.04010709,2.183225,1.1913518,0.95051485,6.7975297,0.7855019,4.907042,2.5135155,25.030216,0.53585404,568.82385,0.35729492,1373.8644,0.16199256,-78.99181,-1.1796639,1582.2372,0.16407986,1019.21906,0.3340512,-84.38953,-1.0024698,2565.9597,0.10899895,927.41864,0.36273086,-88.33568,-0.92459565,-16.422586,-0.48383123,26.886545,0.3393375,0.124767385,0.20531188,-0.022055168,-0.67979753,0.06292121,1.076945,42.966778,0.20413366,-7.4702597,-2.0247126,12.544677,1.4817924,-8.662024,-1.5735908,-8.24023,16.986439,0.095802054,-0.0095611075,0.022769043,2.0098782,2.6412725,0.2295027,0.20055161,0.13610853,0.13715096,-39.858887,3.0,415
0 days,0 days 00:07:12.560226757,23.18148,0.20688333,19.636875,21.87954,26.355446,6.7185707,176.27745,347.07773,105.785934,268.97775,0.13381551,0.7425713,0.054032218,0.1095149,0.20211613,0.14808391,2.0317752,1.4342023,1.667343,1.2617608,0.02626016,1.0431901,37.369083,0.43881622,-13.871455,-0.97166014,10.324424,1.6496464,-1.7742243,-8.111071,0.029670224,2.4773438,1.3725175,1.0431962,2.9284117,1.3989818,2.9936087,1.8960516,19.20885,0.4688934,507.33804,0.43116662,1323.0481,0.1520552,-78.21574,-1.2304527,1484.5494,0.18717834,996.115,0.23083052,-82.28936,-1.1134701,2467.0742,0.11490436,906.2472,0.31478432,-86.71922,-1.0161821,-10.449367,-0.6192175,21.154741,0.38425508,0.09864696,0.21283458,-0.017336491,-0.89478713,0.034108374,0.8616914,46.118378,0.1994053,-16.978363,-0.75936234,9.876219,1.9166471,0.2980212,47.402344,-6.1496916,13.945164,0.08434956,-0.0058456818,0.015005144,2.7782285,2.3174436,0.21561,0.200995,0.12814999,0.11580015,-44.351006,3.0,416
0 days,0 days 00:07:19.399818594,30.747168,0.14590316,28.974941,30.509087,33.2614,4.286457,302.95453,388.691,110.96873,328.32996,0.11010645,0.736486,0.03320489,0.095593475,0.17569047,0.14248559,1.7695186,0.99343395,1.2055427,0.8668368,0.019230576,0.99558485,34.035774,0.4095076,-10.397014,-1.3670014,11.083334,1.3424428,-10.1755495,-1.4349157,0.024952527,2.6140535,0.85835075,1.1709083,7.4695067,0.63801134,-0.046949893,-165.98645,21.248724,0.4525275,523.1403,0.3243853,1380.0046,0.16111082,-90.36431,-1.0636513,1543.2247,0.15454943,1056.821,0.39776015,-94.914314,-0.94537634,2541.8865,0.110264614,1043.067,0.51061505,-99.06767,-0.869084,-13.022941,-0.4974286,24.04449,0.3355013,0.12763017,0.17639068,-0.024968985,-0.5218054,0.025024287,0.79845756,42.487022,0.17918298,-13.865942,-1.0398569,12.255488,1.3710195,-14.389976,-1.0952803,-7.8358617,16.884495,0.096264616,-0.0101661775,0.011816281,2.8536236,2.2813342,0.21188,0.17355588,0.16528998,0.15001103,-47.486073,7.0,417
